,anger,app,disapp,fear,joy,neg,neu,num,pos,sadness,sum_c
2020-01-19,0.27906976744186046,42.33786,52.985788,0.5232558139534884,0.10465116279069768,0.4883720930232558,0.3023255813953488,86.0,0.20930232558139536,0.09302325581395349,-13.8588
2020-01-20,0.29213483146067415,42.713089000000004,52.823916000000004,0.5617977528089888,0.07865168539325842,0.4943820224719101,0.24157303370786518,178.0,0.2640449438202247,0.06741573033707865,-26.865699999999997
2020-01-21,0.2746478873239437,42.222053,53.522698,0.5633802816901409,0.08450704225352113,0.4014084507042254,0.2887323943661972,142.0,0.30985915492957744,0.07746478873239436,-5.946100000000001
2020-01-22,0.2976190476190476,41.909656,53.927913000000004,0.5416666666666666,0.10714285714285714,0.35119047619047616,0.2619047619047619,168.0,0.3869047619047619,0.05357142857142857,1.702099999999999
2020-01-23,0.25384615384615383,42.635503,53.244073,0.5307692307692308,0.12307692307692308,0.382051282051282,0.3230769230769231,390.0,0.2948717948717949,0.09230769230769231,-24.164399999999976
2020-01-24,0.31265508684863524,43.016357,52.58426899999999,0.5062034739454094,0.09181141439205956,0.369727047146402,0.3325062034739454,403.0,0.2977667493796526,0.08933002481389578,-27.389000000000006
2020-01-25,0.2867132867132867,43.016357,52.58426899999999,0.5151515151515151,0.10722610722610723,0.45454545454545453,0.28438228438228436,429.0,0.26107226107226106,0.09090909090909091,-52.0939
2020-01-26,0.2755905511811024,43.074199,52.767053000000004,0.5118110236220472,0.09448818897637795,0.4225721784776903,0.27296587926509186,381.0,0.30446194225721784,0.11811023622047244,-28.254199999999997
2020-01-27,0.2459546925566343,42.890308000000005,52.869209999999995,0.5194174757281553,0.11165048543689321,0.40614886731391586,0.2588996763754045,618.0,0.33495145631067963,0.12297734627831715,-27.417500000000004
2020-01-28,0.2576530612244898,43.193389,52.515747,0.5382653061224489,0.09948979591836735,0.4336734693877551,0.25255102040816324,392.0,0.3137755102040816,0.10459183673469388,-33.672299999999986
2020-01-29,0.32335329341317365,42.95131,52.60528000000001,0.5149700598802395,0.10179640718562874,0.4311377245508982,0.31736526946107785,167.0,0.25149700598802394,0.059880239520958084,-21.4653
2020-01-30,0.2417910447761194,42.830283,52.758718,0.5373134328358209,0.09253731343283582,0.4059701492537313,0.31044776119402984,335.0,0.2835820895522388,0.12835820895522387,-28.1692
